equipos;pj;g;e;p;gf;gc;dg;p
Tolima;18;11;5;2;30;15;15;38
Santa Fe;18;10;4;4;22;11;11;34
Bucaramanga;17;9;5;3;21;10;11;32
Deportivo Pereira;18;9;4;5;25;18;7;31
La Equidad;17;8;6;3;19;10;9;30
Millonarios;18;8;4;6;25;20;5;28
Junior;18;8;4;6;24;21;3;28
Once Caldas;18;8;4;6;16;16;0;28
Medellín;18;7;5;6;21;31;-10;26
América;18;6;6;6;22;16;6;24
Fortaleza;17;6;5;6;17;17;0;23
Águilas Doradas;17;6;3;8;17;17;0;21
Atlético Nacional;18;5;6;7;18;19;-1;21
Deportivo Cali;18;5;5;8;24;24;0;20
Jaguares;18;4;7;7;16;20;-4;19
Boyacá Chicó;17;5;3;9;21;30;-9;18
Pasto;17;4;4;9;10;18;-8;16
Envigado;18;3;7;8;15;24;-9;16
Alianza;18;4;4;10;15;28;-13;16
Patriotas;18;4;3;11;8;21;-13;15
